#OTU ID	A10	A11	A12	A6	A7	A8	A9	daiquiriA1	daiquiriA2	daiquiriA3	daiquiriA4	daiquiriA5
c5063f5a065030e0769e4ea111384593	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16a47ecf4cd1953c7d23f1227fa63ffa	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
2657b58bd2f565fe8429481225d6f2aa	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ec810fc1207f406c645ab4f18076bbfd	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0
048f78d265b1056e8bf4e7381d508204	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
66dae1673430e487f9bbfe84b6132d7e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0
2a6030a71a09ca3e6b3245466c03d65e	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
21b7590b088a7cda86eb0da661b7af48	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
95e587c0fc9b2e564f590de2799748ed	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4afc4cccfe15a2062e7f015a4540ca6e	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
aac04e3c7018bc2cccdec39215a17432	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	15.0	0.0	0.0
461450cff8d616a93ca6638c585138e5	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
db1bddd36f0959af48cffb38493618a0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0
4f8c758ffa352332842ffd7a1a4bffe1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0
68528942ec176774b550c8da81fe6483	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
93edf82955a4f724f21cfe9da34327b8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0
02a620fd56be52e4b18d9cd6af230cdd	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0
ca5a82ce36bf078ef31bf29291157b85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
2593a5d8947c1a943342f364c8d07034	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0
4dccba339914e988a6b76b5e8130b978	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.0	0.0	0.0
12f6174a5d3d797c77782e80d6c0c443	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0
c263c20c181aba24293b0a1059af13b4	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f97957489ea02d97afbc7d005787debd	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0
482d7543c3a3dc767fe01167b31b8f70	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0
06586462f170e52fd4cbf5492fed078a	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0
387daf24f6bd9c779d2085251adb5d74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0
b70ea0335db784c8cb9ba89e4926a2b8	0.0	0.0	0.0	0.0	122.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d756f9247d0cfe76c9fa711e98a6767b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0
fb6e0bf4163f3fc73416dffb1bff1bc2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0
292d3f7cdbae0600714b1f9f563d1f51	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3d65a5c8b788957cb6bdb7a86cd35a76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0
0597728668fc4d2e9184770bd45b5fb3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0
fb867dd2dc261fedf9e7f6a74c163177	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
1d3735250ac30201158f21a18b91cc85	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f64717fa1e49c240c99f77bd17c1d2f8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0
5c6dfc3f57efbae23eadb8a48e6d3e11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0
8a93e67ffe254bcebc5f482031122553	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
63764919bcf218274cf576f80fc741d2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0
4b36883be75bef688dfb03b32b2ceae8	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d6d21fae2e889a6f2e9e13d4f8ff3ee7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0
d26290bbd44dfa94a57ce9ae39b719ed	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0
1cda8fce0a0113b554657bfdffbd5ae3	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
8d7668ec9cf6a01fab7d17f52bca26ac	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0
51faa4df749eb47b276aed6917074c72	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	12.0	0.0	0.0
13690fbac7571411e652a98d8e398b84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0
1e1a072dbcfd6094f1e8a0a2669d18e1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
1839c14b8810e66a8403c7412e6f7138	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0
d3d740e84f5a0ad83bba42e9df760663	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0
f91c72c47d3d494c6530c9d6293f000b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0
832cb14fa268fd6a912882bac8ace944	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0
0f62c0fdf83ab7c6bb4116b10587c964	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0
b8f6d4febf4673bfb14b9ebcfd4b8d7f	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0
cb997b7879aed70a21a6a18b7597c8fe	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
ac09e0991292b6694849f9d57b6db044	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0
f4e2cf08d2967ddd4180d2c749bb943c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0
ee1a173996b08bd040ad39391213955e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0
92a97af0358480f190634cd728af7c48	44.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7cdbb42815e51490e867069fc1c6d6ae	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7905a882df018f507d0852551e4b91a9	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5a7ca0c2373259968e536df9f32761b5	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
be1a188544213814608a88e5d37f5753	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0
1a7fca2ad4ff20616fd741f0537a666e	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1019ca847ee8790c038940e5f16156e3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0
1cbe023da9cb6d4493515833b7443fa6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0
e7c8574d80314fbb0b6fd44186c1b972	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
9884bd4b8d466e9ccf5c5f2ea9746791	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0
0e2e86bf1ee5658e747613fbb37d5333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
e537eea65174b9a57bb290339fd7aa4e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0
2b4362f7a32d252d9d49a725ce3aa232	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
4b8544e8b209f80a0b90973f1bed9fc7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	3.0
3ea8c67d01df6a8e924c075b5a6f45d6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0
e76e02374c7638debcb08a3d435690a6	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
55b1fc9419d2a21957a12d4590421fc5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0
0f05afc1e50fb49d66c77262587c9aa4	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3020293daba927adf4ccb34d79455152	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0
65070b8445dc2a48752113736d743cb4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0
4f15032f052106057f15024b9c7c4f53	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
15f434d89e62f3f3d3b77af5c5dbf07a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0
9a0419311fcbe3a79e1d005bb14cfe5a	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
0848cb1b31a1854af3e95af5f8c2e6f9	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
e5af4a03a518db9f79d03c80e5a0b408	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0
84bc1bfbadc0e86a468e0f3f6f8b443a	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8fc66bfd1893673414ae46c3966d73b1	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
b2a7064c7c3427a47f4f2ef8228340e9	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8cdfacfbb2bf8e8b97985d2d08ce38bb	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0
dff8ac4149acdcbfea3526c7a500e061	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f0d00eabae7f584cfde8d3c253544ae0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0
ed909d7ea5f12ae94fe9c88ff10d7f77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0
40f57ad55947c2ff21f22b5a88f4fe7d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0
0b6cae843ada12b30815deb4abb0755c	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
943e5c024045af6ae6179bbeb011c2f1	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
208926a3d6fcafabe9d6c0d4c560bd83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0
83f64240b02310581a2c252c5a902069	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	13.0	0.0	0.0
758c89b66b5f07900c117ed12b107672	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0
c3d77339a03f971c0319273adf5dcfc7	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
a057800407e5be2e06f98684347a5511	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0
56ff2cae49dfc4e57bf298ea05f63cc2	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
308c0c932500d0739e517d707582ac84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0
5792942ab9ba68f2fd2004f38cd245a7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0
f72cd035ae272a05890cef87cc988fbc	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0
e7faa663bda6c4e6c66afe773fa8299c	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3fec60ee21ba4b0ebe4b6518f55afb43	0.0	0.0	0.0	0.0	63.0	0.0	0.0	0.0	59.0	53.0	7.0	108.0
57e1c37d8e5e81f5685fc66ffc4905fe	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	0.0	0.0
1f88e17631ecde045c76dc9a9f378a1e	0.0	0.0	0.0	0.0	50.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
09420839d5b999e7eaa24a5275ef2f00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	119.0	0.0	0.0	0.0
80d12c2fc5bbdbbe0a77b27cceaed5ef	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	85.0	0.0	0.0
8d82c34b6edbf2c08099c3418715afed	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0
9b3cc1124d3366baf67616b8b2e7e13c	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ecc1b3c50344efaab8f2ae5264bde966	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0
b4f8c8fa9654b936e8e34d34bc666fd2	0.0	0.0	0.0	0.0	33.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
79a378679be18df096b6996df80020d2	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1decea278a9a8b3597c335a78f4119bc	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
05fcbb5678caf739cc2bc8a8724989af	0.0	0.0	451.0	0.0	0.0	0.0	0.0	0.0	0.0	78.0	780.0	0.0
13c4f6adb49d6681064a8a04b449787e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	361.0	0.0	0.0
f9eb08a80fd275970788f7156aff07bb	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	645.0	0.0	0.0	0.0
dce2cc9033737883982375ab6d91d581	0.0	0.0	0.0	0.0	95.0	0.0	0.0	10.0	25250.0	0.0	0.0	0.0
7394e6970fb9e1ac9caf80a7af94c0d9	0.0	269.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8b316bd9d013b9dea6152e9302ea17d1	0.0	339.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
62ce5968e25bea1ff4a7fa2b500afab3	56.0	49.0	190.0	7887.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
e6a9584179c941de9cc9d264db730389	0.0	437.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1f166d3184b739b75d50946be5cf9be9	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
845d68a584d85a754055d84159d33c51	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
74376fc208d0a7c0bb0683f4b3584913	0.0	0.0	0.0	563.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
36452251a63cbfa9ef368c37fb5688fa	0.0	0.0	0.0	0.0	0.0	0.0	0.0	118.0	0.0	0.0	0.0	48.0
254f9e13f72d8493454b767a18ab168e	1668.0	1558.0	5761.0	281644.0	126.0	23.0	0.0	3342.0	0.0	1037.0	1365.0	1472.0
f53fee073f67108f0dc0e4239f9cadc8	0.0	0.0	149.0	7421.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f892c1b22a4ad5496e85c98c300da639	36.0	42.0	182.0	8309.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
c44410c61e8806031424c201487f463e	0.0	0.0	0.0	15174.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0
983ab4d3a2d051a26c10f81b166886b5	0.0	0.0	0.0	397.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ef5134273540d6fcc05402dace85db0e	0.0	0.0	92.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
eed908438c5e34dbbeeef8430908abf6	281.0	94.0	8998.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0918c24c4220b08df5bd20e2efa29da5	0.0	0.0	0.0	3482.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
093f1804e62c700b1736b32f8e8a581f	0.0	0.0	0.0	241.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
b30c486e895b932546802b79df3358b7	0.0	0.0	0.0	142.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
103935f983dffdfee3bd6109fe1e319d	848.0	87.0	0.0	123443.0	612.0	0.0	0.0	0.0	0.0	56.0	566.0	1062.0
cfb8595e40743a5e77be7cc13389dba1	0.0	0.0	0.0	3101.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3574de99945e61710eaee32fa034d151	0.0	0.0	0.0	3332.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
b05affb9bda003047b06e113dba695a7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0
bd4a4d109408ff7d4bdda47d2b4dd6bb	371.0	0.0	479.0	0.0	121.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
891ee36a119dce35e0433080d814be9c	378.0	64.0	4480.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
dbe020460fe1538768c3b39548bd7c21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	207.0	0.0	0.0	0.0	0.0
0caba2db04cb9eb4eebdaf24c3e0a14f	0.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0
014d2bf415e37beb6d26e67eebfc0ceb	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2866.0	0.0	2652.0	0.0	102.0
974b9cd1d467cac746be8fb2b800afdc	13988.0	89.0	16223.0	29.0	4514.0	0.0	121.0	91794.0	124.0	91874.0	322.0	4440.0
79c6afe667a8d560c5254f5790d7b812	0.0	0.0	0.0	0.0	248.0	0.0	44.0	20950.0	0.0	0.0	0.0	0.0
f45c7e7989eb390f39c997e0fe80080e	425.0	0.0	432.0	0.0	137.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0600fcbd341da8b908a1db7058f2838b	417.0	0.0	516.0	0.0	153.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1f601022f53b6ead8b63f12380d223ef	0.0	0.0	0.0	0.0	286.0	0.0	0.0	0.0	0.0	0.0	0.0	1041.0
8723cebee4cfa66312b234b27381ed96	0.0	0.0	0.0	0.0	906.0	0.0	0.0	0.0	0.0	0.0	0.0	5081.0
f70f1f6514855ce99419d9b944d41045	0.0	0.0	0.0	0.0	102.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
b1d6fc351523c62b7e4ed97a41524e44	0.0	0.0	0.0	0.0	112.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
89ba53083e83420fa6ce26a2c82a2c52	0.0	0.0	0.0	0.0	1961.0	0.0	0.0	0.0	0.0	0.0	0.0	8473.0
c6b8f8a260e6912bb3d915ad597e4e8c	5771.0	6890.0	0.0	0.0	455.0	8681.0	11156.0	0.0	0.0	0.0	0.0	0.0
5491856c7534baa0a29f0b0703a4f35b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0
66ca07aae3530556d1b36361dfb53a3d	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
265ca8e81f411deca18cd2dd95a5a668	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0
e33f11796700db0c553459c68be60e2b	402.0	469.0	0.0	0.0	0.0	636.0	798.0	164.0	0.0	1119.0	0.0	0.0
690768b4a177dba8c81d58df4fb5c0df	0.0	0.0	0.0	0.0	0.0	552.0	0.0	0.0	0.0	0.0	0.0	0.0
ce69c0058b53d0593ff292c820fe4bae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2392.0	0.0	16239.0	1374.0	883.0
027df121433429b727681d99248ffd78	271.0	300.0	0.0	0.0	0.0	391.0	501.0	0.0	0.0	642.0	0.0	0.0
a5289bc7b52aed246d073e3b22d5d220	223086.0	258484.0	213.0	1071.0	15115.0	322049.0	432026.0	83097.0	99.0	504320.0	47552.0	31663.0
