bacterial_species,metagenomic,culture,risk_group,human_pathogenicity,urinary_pathogene,aero_intolerant,phyla,genus
Microbacterium testaceum,0,1,Unclassified,Unclassified,Unclassified,0,Actinobacteria,Microbacterium
Micrococcus luteus,0,1,1,1,Unclassified,0,Actinobacteria,Micrococcus
Micrococcus lylae,0,1,1,Unclassified,Unclassified,0,Actinobacteria,Micrococcus
Microvirga floculens,1,0,Unclassified,Unclassified,Unclassified,1,Proteobacteria,Microvirga
Mobiluncus curtisii,1,1,2,1,Unclassified,1,Actinobacteria,Mobiluncus
Moraxella catarrhalis,0,1,2,1,1,0,Proteobacteria,Moraxella
Moraxella liquefaciens,0,1,2,1,Unclassified,0,Proteobacteria,Moraxella
Moraxella nonliquefaciens,0,1,2,1,1,0,Proteobacteria,Moraxella
Moraxella osloensis,1,1,2,1,Unclassified,0,Proteobacteria,Moraxella
Morganella morganii,0,1,2,1,1,0,Proteobacteria,Morganella
Mycobacterium abscessus,0,1,2,1,Unclassified,0,Actinobacteria,Mycobacterium
Mycobacterium africanum,0,1,3,1,Unclassified,0,Actinobacteria,Mycobacterium
Mycobacterium avium,0,1,2,1,1,0,Actinobacteria,Mycobacterium
Mycobacterium bovis,0,1,3,1,1,0,Actinobacteria,Mycobacterium
Mycobacterium chelonae,0,1,2,1,1,0,Actinobacteria,Mycobacterium
Mycobacterium flavescens,0,1,2,1,Unclassified,0,Actinobacteria,Mycobacterium
Mycobacterium fortuitum,0,1,2,1,1,0,Actinobacteria,Mycobacterium
Mycobacterium gordonae,0,1,2,1,1,0,Actinobacteria,Mycobacterium
Mycobacterium hassiacum,0,1,2,1,Unclassified,0,Actinobacteria,Mycobacterium
Mycobacterium intracellulare,0,1,2,1,1,0,Actinobacteria,Mycobacterium
Mycobacterium kensasii,0,1,2,1,1,0,Actinobacteria,Mycobacterium
Mycobacterium lentiflavum,0,1,2,1,Unclassified,0,Actinobacteria,Mycobacterium
Mycobacterium leprae,1,0,3,1,Unclassified,0,Actinobacteria,Mycobacterium
Mycobacterium malmoense,0,1,2,1,Unclassified,0,Actinobacteria,Mycobacterium
Mycobacterium marinum,0,1,2,1,1,0,Actinobacteria,Mycobacterium
Mycobacterium neoaurum,0,1,2,1,1,0,Actinobacteria,Mycobacterium
Mycobacterium scrofulaceum,0,1,2,1,1,0,Actinobacteria,Mycobacterium
Mycobacterium simiae,0,1,2,1,1,0,Actinobacteria,Mycobacterium
Mycobacterium smegmatis,0,1,2,1,Unclassified,0,Actinobacteria,Mycobacterium
Mycobacterium szulgai,0,1,2,1,1,0,Actinobacteria,Mycobacterium
Mycobacterium terrae,0,1,2,1,1,0,Actinobacteria,Mycobacterium
Mycobacterium tuberculosis,0,1,3,1,1,0,Actinobacteria,Mycobacterium
Mycobacterium xenopi,0,1,2,1,1,0,Actinobacteria,Mycobacterium
Mycoplasma fermentans,1,1,2,1,1,0,Tenericutes,Mycoplasma
Mycoplasma genitalium,0,1,2,1,1,0,Tenericutes,Mycoplasma
Mycoplasma hominis,1,1,2,1,1,0,Tenericutes,Mycoplasma
Mycoplasma penetrans,0,1,2,1,1,0,Tenericutes,Mycoplasma
Mycoplasma pirum,0,1,2,Unclassified,Unclassified,0,Tenericutes,Mycoplasma
Mycoplasma pneumoniae,1,0,2,1,Unclassified,0,Tenericutes,Mycoplasma
Mycoplasma primatum,0,1,1,Unclassified,Unclassified,0,Tenericutes,Mycoplasma
Myroides injenensis,0,1,Unclassified,Unclassified,Unclassified,0,Bacteroidetes,Myroides
Myroides odoratimimus,0,1,2,1,1,0,Bacteroidetes,Myroides
Nanobacterium sanguineum,0,1,Unclassified,Unclassified,Unclassified,0,UNCLASSIFIED,UNCLASSIFIED
Negativicoccus succinicivorans,1,0,Unclassified,Unclassified,Unclassified,1,Firmicutes,Negativicoccus
Neisseria cinerea,0,1,2,1,1,0,Proteobacteria,Neisseria
Neisseria flavescens,1,0,2,1,Unclassified,0,Proteobacteria,Neisseria
Neisseria gonorrhoeae,1,1,2,1,1,0,Proteobacteria,Neisseria
Neisseria meningitidis,0,1,2,1,1,0,Proteobacteria,Neisseria
Neisseria mucosa,0,1,2,1,1,0,Proteobacteria,Neisseria
Neisseria perflava,0,1,2,1,Unclassified,0,Proteobacteria,Neisseria
Neisseria polysaccharea,0,1,2,1,1,0,Proteobacteria,Neisseria
Neisseria sicca,0,1,2,1,Unclassified,0,Proteobacteria,Neisseria
Neisseria subflava,0,1,2,1,Unclassified,0,Proteobacteria,Neisseria
Nocardia asteroides,0,1,2,1,1,0,Actinobacteria,Nocardia
Nocardia farcinica,0,1,2,1,1,0,Actinobacteria,Nocardia
Nocardia otitidiscaviarum,0,1,2,1,1,0,Actinobacteria,Nocardia
Nocardia veterana,0,1,2,Unclassified,1,0,Actinobacteria,Nocardia
Nosocomiicoccus ampullae,1,1,Unclassified,Unclassified,Unclassified,0,Firmicutes,Nosocomiicoccus
Oblitimonas alkaliphila,0,1,Unclassified,Unclassified,Unclassified,0,Proteobacteria,Oblitimonas
Ochrobactrum tritici,1,0,1,Unclassified,Unclassified,0,Proteobacteria,Ochrobactrum
Oligella ureolytica,0,1,2,Unclassified,1,0,Proteobacteria,Oligella
Oligella urethralis,1,1,2,Unclassified,1,0,Proteobacteria,Oligella
Olsenella urininfantis,0,1,Unclassified,Unclassified,Unclassified,1,Actinobacteria,Olsenella
Orentia tsutsugamushi,1,0,3,1,Unclassified,0,Proteobacteria,Orentia
Paenibacillus alvei,0,1,Unclassified,Unclassified,1,0,Firmicutes,Paenibacillus
Paenibacillus amylolyticus,0,1,Unclassified,Unclassified,Unclassified,0,Firmicutes,Paenibacillus
Paenibacillus urinalis,0,1,Unclassified,Unclassified,Unclassified,0,Firmicutes,Paenibacillus
Pantoea agglomerans,0,1,2,1,1,0,Proteobacteria,Pantoea
Pantoea calida,0,1,Unclassified,Unclassified,Unclassified,0,Proteobacteria,Pantoea
Pantoea dispersa,0,1,1,Unclassified,Unclassified,0,Proteobacteria,Pantoea
Pantoea septica,0,1,Unclassified,Unclassified,Unclassified,0,Proteobacteria,Pantoea
Parachlamydia acanthamoebae,1,0,1,1,Unclassified,Unclassified,Chlamydiae,Parachlamydia
Paraclostridium bifermentans,1,0,Unclassified,Unclassified,Unclassified,1,Firmicutes,Paraclostridium
Parasutterella excretimentihominis,1,0,Unclassified,Unclassified,Unclassified,1,Proteobacteria,Parasutterella
Pasteurella aerogenes,0,1,2,1,Unclassified,0,Proteobacteria,Pasteurella
Pasteurella bettyae,0,1,2,1,1,0,Proteobacteria,Pasteurella
Pasteurella multocida,0,1,2,1,1,0,Proteobacteria,Pasteurella
Pedobacter rhizospharae,1,0,Unclassified,Unclassified,Unclassified,0,Bacteroidetes,Pedobacter
Pediococcus acidilactici,0,1,1,Unclassified,Unclassified,0,Firmicutes,Pediococcus
Pediococcus pentosaceus,0,1,1,Unclassified,1,0,Firmicutes,Pediococcus
Peptococcus niger,1,1,2,1,Unclassified,1,Firmicutes,Peptococcus
Peptoniphilus asaccharolyticus,0,1,2,Unclassified,1,1,Firmicutes,peptoniphilus
Peptoniphilus coxii,1,0,Unclassified,1,Unclassified,1,Firmicutes,Peptoniphilus
Peptoniphilus gorbachii,1,0,Unclassified,Unclassified,Unclassified,1,Firmicutes,Peptoniphilus
Peptoniphilus harei,1,1,2,Unclassified,Unclassified,1,Firmicutes,peptoniphilus
Peptoniphilus urinimassiliensis,0,1,Unclassified,Unclassified,Unclassified,1,Firmicutes,peptoniphilus
Peptostreptococcus anaerobius,1,1,2,1,Unclassified,1,Firmicutes,Peptostreptococcus
Peptostreptococcus micros,0,1,Unclassified,1,Unclassified,1,Firmicutes,Peptostreptococcus
Photobacterium damselae,0,1,2,1,1,0,Proteobacteria,Photobacterium
Porphyromonas bennonis,1,0,Unclassified,Unclassified,Unclassified,1,Bacteroidetes,Porphyromonas
Porphyromonas circumdentaria,1,0,2,1,Unclassified,1,Bacteroidetes,Porphyromonas
Porphyromonas somerae,1,1,2,Unclassified,1,1,Bacteroidetes,Porphyromonas
Porphyromonas uenonis,1,0,2,1,Unclassified,1,Bacteroidetes,Porphyromonas
Prevotella bergensis,1,0,2,Unclassified,Unclassified,1,Bacteroidetes,Prevotella
Prevotella bivia,1,1,2,1,Unclassified,1,Bacteroidetes,Prevotella
Prevotella buccalis,1,0,2,1,1,1,Bacteroidetes,Prevotella
Prevotella corporis,1,0,2,1,Unclassified,1,Bacteroidetes,Prevotella
Prevotella disiens,1,0,2,Unclassified,Unclassified,1,Bacteroidetes,Prevotella
Prevotella melaninogenica,1,1,2,1,1,1,Bacteroidetes,Prevotella
Prevotella ruminicola,1,0,2,1,1,1,Bacteroidetes,Prevotella
Prevotella timonensis,1,1,2,Unclassified,Unclassified,1,Bacteroidetes,Prevotella
Propionibacterium acnes,1,1,2,1,Unclassified,0,Actinobacteria,Propionibacterium
Propionibacterium avidum,0,1,2,1,Unclassified,0,Actinobacteria,Propionibacterium
Propionibacterium propionicum,0,1,2,1,Unclassified,0,Actinobacteria,Propionibacterium
Propionicicella superfundia,1,0,1,Unclassified,Unclassified,0,Actinobacteria,Propionicicella
Propionimicrobium lymphophilum,1,1,2,1,1,0,Actinobacteria,Propionimicrobium
Propionispira arcuata,1,0,Unclassified,Unclassified,Unclassified,1,Firmicutes,Propionispira
Proteus inconstans,0,1,2,1,Unclassified,0,Proteobacteria,Proteus
Proteus mirabilis,1,1,2,1,1,0,Proteobacteria,Proteus
Proteus penneri,0,1,2,1,1,0,Proteobacteria,Proteus
Proteus vulgaris,1,1,2,1,1,0,Proteobacteria,Proteus
Providencia alcalifaciens,0,1,2,1,1,0,Proteobacteria,Providencia
Providencia rettgeri,0,1,2,1,1,0,Proteobacteria,Providencia
Providencia stuartii,0,1,2,1,1,0,Proteobacteria,Providencia
Pseudoclavibacter alba,0,1,Unclassified,Unclassified,Unclassified,0,Actinobacteria,Pseudoclavibacter
Pseudoglutamicibacter albus,1,0,Unclassified,Unclassified,Unclassified,0,Actinobacteria,Pseudoglutamicibacter
Pseudomonas aeruginosa,1,1,2,1,1,0,Proteobacteria,Pseudomonas
Pseudomonas alcaligenes,0,1,2,1,Unclassified,0,Proteobacteria,Pseudomonas
Pseudomonas denitrificans,1,0,Unclassified,Unclassified,Unclassified,0,Proteobacteria,Pseudomonas
Pseudomonas fluorescens,1,1,2,Unclassified,1,0,Proteobacteria,Pseudomonas
Pseudomonas luteola,0,1,2,1,1,0,Proteobacteria,Pseudomonas
Pseudomonas mendocina,0,1,2,1,Unclassified,0,Proteobacteria,Pseudomonas
Pseudomonas monteilii,0,1,2,Unclassified,Unclassified,0,Proteobacteria,Pseudomonas
Pseudomonas mosselii,0,1,2,Unclassified,Unclassified,0,Proteobacteria,Pseudomonas
Pseudomonas oryzihabitans,0,1,2,1,1,0,Proteobacteria,Pseudomonas
Pseudomonas poae,1,0,1,Unclassified,Unclassified,0,Proteobacteria,Pseudomonas
Pseudomonas putida,0,1,2,Unclassified,Unclassified,0,Proteobacteria,Pseudomonas
Pseudomonas reactans,1,0,Unclassified,Unclassified,Unclassified,0,Proteobacteria,Pseudomonas
Pseudomonas stutzeri,1,1,2,Unclassified,1,0,Proteobacteria,Pseudomonas
Pseudomonas trivialis,1,0,1,Unclassified,Unclassified,0,Proteobacteria,Pseudomonas
Pseudoramibacter alactolyticus,1,0,2,1,Unclassified,1,Proteobacteria,Pseudoramibacter
Psychrobacter phenylpyruvicus,0,1,2,1,Unclassified,0,Proteobacteria,Psychrobacter
Rahnella aquatilis,1,1,Unclassified,Unclassified,1,0,Proteobacteria,Rahnella
Ralstonia pickettii,0,1,2,Unclassified,Unclassified,0,Proteobacteria,Ralstonia
Raoultella ornithinolytica,1,1,2,1,1,0,Proteobacteria,Raoultella
Raoultella planticola,0,1,1,Unclassified,1,0,Proteobacteria,Raoultella
Raoultella terrigena,0,1,Unclassified,Unclassified,1,0,Proteobacteria,Raoultella
Rhizobium radiobacter,0,1,Unclassified,Unclassified,1,0,Proteobacteria,Rhizobium
Rhodanobacter terrae,1,0,1,Unclassified,Unclassified,0,Proteobacteria,Rhodanobacter
Rickettsia japonica,0,1,3,1,Unclassified,0,Proteobacteria,Rickettsia
Roseburia inulinivorans,1,0,Unclassified,Unclassified,Unclassified,1,Firmicutes,Roseburia
Rothia dentocariosa,0,1,2,Unclassified,Unclassified,0,Actinobacteria,Rothia
Rothia mucilaginosa,1,1,2,Unclassified,1,0,Actinobacteria,Rothia
Ruminococcus bromii,1,0,1,Unclassified,Unclassified,1,Firmicutes,Ruminococcus
Ruminococcus flavefaciens,1,0,1,Unclassified,Unclassified,1,Firmicutes,Ruminococcus
Saccharomonospora guangxiensis,1,0,Unclassified,Unclassified,Unclassified,0,UNCLASSIFIED,Saccharomonospora
Salmonella choleraesuis,0,1,2,1,Unclassified,0,Proteobacteria,Salmonella
Salmonella enterica,0,1,2,1,1,0,Proteobacteria,Salmonella
Salmonella newport,0,1,2,Unclassified,1,0,Proteobacteria,Salmonella
Salmonella paratyphi,0,1,2,1,Unclassified,0,Proteobacteria,Salmonella
Salmonella typhi,0,1,3,1,Unclassified,0,Proteobacteria,Salmonella
Salmonella typhimurium,0,1,2,1,1,0,Proteobacteria,Salmonella
Serratia fonticola,0,1,Unclassified,Unclassified,Unclassified,0,Proteobacteria,Serratia
Serratia liquefaciens,1,1,2,1,Unclassified,0,Proteobacteria,Serratia
Serratia marcescens,1,1,2,1,1,0,Proteobacteria,Serratia
Serratia quinivorans,1,0,1,Unclassified,Unclassified,0,Proteobacteria,Serratia
Serratia rubidaea,0,1,Unclassified,Unclassified,Unclassified,0,Proteobacteria,Serratia
Serratia odorifera,0,1,1,Unclassified,Unclassified,0,Proteobacteria,Serratia
Shewanella putrefaciens,0,1,2,Unclassified,Unclassified,0,Proteobacteria,Shewanella
Shigella dysenteriae,1,1,3,1,1,0,Proteobacteria,Shigella
Shigella flexneri,0,1,2,1,1,0,Proteobacteria,Shigella
Shigella sonnei,0,1,2,1,1,0,Proteobacteria,Shigella
Simplicispira psychrophila,1,0,1,Unclassified,Unclassified,0,Proteobacteria,Simplicispira
Slackia exigua,0,1,2,Unclassified,Unclassified,1,Actinobacteria,Slackia
Sneathia sanguinegens,1,0,1,1,Unclassified,1,Fusobacteria,Sneathia
Sphingobium xanthum,1,0,Unclassified,Unclassified,Unclassified,0,Proteobacteria,Sphingobium
Sphingomonas paucimobilis,0,1,2,1,1,0,Proteobacteria,Sphingomonas
Sporolactobacillus inulinus,1,0,1,Unclassified,Unclassified,0,Firmicutes,Sporolactobacillus
Staphylococcus aureus,1,1,2,1,1,0,Firmicutes,Staphylococcus
Staphylococcus capitis,0,1,2,1,Unclassified,0,Firmicutes,Staphylococcus
Staphylococcus caprae,0,1,2,1,1,0,Firmicutes,Staphylococcus
Staphylococcus chromogenes,0,1,Unclassified,Unclassified,Unclassified,0,Firmicutes,Staphylococcus
Staphylococcus cohnii,0,1,1,Unclassified,1,0,Firmicutes,Staphylococcus
Staphylococcus croceolyticus,1,1,Unclassified,Unclassified,Unclassified,0,Firmicutes,Staphylococcus
Staphylococcus epidermidis,1,1,2,1,1,0,Firmicutes,Staphylococcus
Staphylococcus haemolyticus,1,1,2,1,1,0,Firmicutes,Staphylococcus
Staphylococcus hominis,1,1,2,1,1,0,Firmicutes,Staphylococcus
Staphylococcus hyicus,0,1,2,1,1,0,Firmicutes,Staphylococcus
Staphylococcus jettensis,0,1,Unclassified,Unclassified,Unclassified,0,Firmicutes,Staphylococcus
Staphylococcus lentus,0,1,Unclassified,Unclassified,1,0,Firmicutes,Staphylococcus
Staphylococcus lugdunensis,0,1,2,1,1,0,Firmicutes,Staphylococcus
Staphylococcus nepalensis,0,1,Unclassified,Unclassified,Unclassified,0,Firmicutes,Staphylococcus
Staphylococcus pasteuri,1,0,2,1,Unclassified,0,Firmicutes,Staphylococcus
Staphylococcus petrasii,0,1,Unclassified,Unclassified,1,0,Firmicutes,Staphylococcus
Staphylococcus saprophyticus,0,1,2,1,1,0,Firmicutes,Staphylococcus
Staphylococcus schleiferi,0,1,2,Unclassified,1,0,Firmicutes,Staphylococcus
Staphylococcus sciuri,0,1,Unclassified,Unclassified,1,0,Firmicutes,Staphylococcus
Staphylococcus simulans,0,1,Unclassified,Unclassified,Unclassified,0,Firmicutes,Staphylococcus
Staphylococcus vitulinus,0,1,Unclassified,Unclassified,Unclassified,0,Firmicutes,Staphylococcus
Staphylococcus warneri,0,1,2,1,1,0,Firmicutes,Staphylococcus
Staphylococcus xylosus,0,1,Unclassified,1,1,0,Firmicutes,Staphylococcus
Stenotrophomonas maltophilia,1,1,2,1,Unclassified,0,Proteobacteria,Stenotrophomonas
Streptococcus acidominimus,0,1,2,1,Unclassified,0,Firmicutes,Streptococcus
Streptococcus agalactiae,1,1,2,1,1,0,Firmicutes,Streptococcus
Streptococcus anginosus,1,1,2,1,1,0,Firmicutes,Streptococcus
Streptococcus bovis,0,1,2,1,Unclassified,0,Firmicutes,Streptococcus
Streptococcus canis,0,1,2,1,Unclassified,0,Firmicutes,Streptococcus
Streptococcus constellatus,0,1,2,1,Unclassified,0,Firmicutes,Streptococcus
Streptococcus cristatus,0,1,2,Unclassified,Unclassified,0,Firmicutes,Streptococcus
Streptococcus dysgalactiae,1,1,2,1,1,0,Firmicutes,Streptococcus
Streptococcus equinus,0,1,2,1,1,0,Firmicutes,Streptococcus
Streptococcus gallolyticus,0,1,2,1,1,0,Firmicutes,Streptococcus
Streptococcus gordonii,0,1,2,Unclassified,Unclassified,0,Firmicutes,Streptococcus
Streptococcus intermedius,1,1,2,1,Unclassified,0,Firmicutes,Streptococcus
Streptococcus milleri,0,1,2,Unclassified,Unclassified,0,Firmicutes,Streptococcus
Streptococcus mitis,1,1,2,1,1,0,Firmicutes,Streptococcus
Streptococcus mutans,0,1,2,1,Unclassified,0,Firmicutes,Streptococcus
Streptococcus oralis,0,1,2,1,Unclassified,0,Firmicutes,Streptococcus
Streptococcus parasanguinis,0,1,2,1,Unclassified,0,Firmicutes,Streptococcus
Streptococcus pasteurianus,0,1,2,Unclassified,Unclassified,0,Firmicutes,Streptococcus
Streptococcus porcinus,0,1,2,1,1,0,Firmicutes,Streptococcus
Streptococcus pneumoniae,1,1,2,1,1,0,Firmicutes,Streptococcus
Streptococcus pseudopneumoniae,0,1,2,Unclassified,Unclassified,0,Firmicutes,Streptococcus
Streptococcus pseudoporcinus,0,1,2,Unclassified,Unclassified,0,Firmicutes,Streptococcus
Streptococcus pyogenes,0,1,2,1,1,0,Firmicutes,Streptococcus
Streptococcus salivarius,1,1,2,1,Unclassified,0,Firmicutes,Streptococcus
Streptococcus sanguinis,0,1,2,1,Unclassified,0,Firmicutes,Streptococcus
Streptococcus thermophilus,1,0,2,Unclassified,Unclassified,0,Firmicutes,Streptococcus
Streptococcus uberis,0,1,2,1,Unclassified,0,Firmicutes,Streptococcus
Streptococcus urinalis,0,1,2,Unclassified,Unclassified,0,Firmicutes,Streptococcus
Streptococcus vestibularis,0,1,2,Unclassified,Unclassified,0,Firmicutes,Streptococcus
Streptococcus viridans,0,1,2,1,1,0,Firmicutes,Streptococcus
Streptomyces albogriseolus,1,0,1,Unclassified,Unclassified,0,Actinobacteria,Streptomyces
Sutterella stercoricanis,1,0,1,Unclassified,Unclassified,1,Proteobacteria,Sutterella
Tamaricihabitans halophyticus,1,0,Unclassified,Unclassified,Unclassified,0,Actinobacteria,Tamaricihabitans
Tepidibacillus fermentans,1,0,Unclassified,Unclassified,Unclassified,1,Firmicutes,Tepidibacillus
Tolumonas auensis,1,0,1,Unclassified,Unclassified,0,Proteobacteria,Tolumonas
Treponema pallidum,1,0,2,1,Unclassified,0,Spirochaetes,Treponema
Tropherima whipplei,1,0,2,1,Unclassified,0,Actinobacteria,Tropheryma
Trueperella bernardiae,0,1,Unclassified,1,1,0,Actinobacteria,Trueperella
Turicibacter sanguinis,1,0,1,Unclassified,Unclassified,1,Firmicutes,Turicibacter
Ureaplasma parvum,1,0,2,1,Unclassified,0,Tenericutes,Ureaplasma
Ureaplasma urealyticum,1,1,2,1,Unclassified,0,Tenericutes,Ureaplasma
Urinacoccus massiliensis,0,1,Unclassified,Unclassified,Unclassified,1,Firmicutes,Urinacoccus
Varibaculum cambriense,1,0,Unclassified,1,Unclassified,1,Actinobacteria,Varibaculum
Veillonella montpellierensis,1,0,1,1,Unclassified,1,Firmicutes,Veillonella
Veillonella parvula,0,1,2,1,1,1,Firmicutes,Veillonella
Vibrio cholerae,0,1,2,1,1,0,Proteobacteria,Vibrio
Vibrio fluvalis,0,1,2,Unclassified,Unclassified,0,Proteobacteria,Vibrio
Vibrio vulnificus,1,0,2,1,Unclassified,0,Proteobacteria,Vibrio
Waddlia chondrophila,1,0,2,1,Unclassified,0,Chlamydiae,Waddlia
Wautersiella falsenii,0,1,Unclassified,Unclassified,1,0,Bacteroidetes,Wautersiella
Weeksella massiliensis,0,1,Unclassified,Unclassified,Unclassified,0,Bacteroidetes,Weeksella
Wolinella succinogenes,1,0,1,1,Unclassified,0,Proteobacteria,Wolinella
Xanthomonas arboricola,0,1,2,Unclassified,Unclassified,1,Proteobacteria,Xanthomonas
Yersinia enterocolitica,0,1,2,1,Unclassified,0,Proteobacteria,Yersinia
Yersinia intermedia,1,1,2,Unclassified,Unclassified,0,Proteobacteria,Yersinia
Yersinia kristensenii,1,0,2,Unclassified,Unclassified,0,Proteobacteria,Yersinia
Yersinia pseudotuberculosis,1,1,2,1,1,0,Proteobacteria,Yersinia
