sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
A10	410193	293893	71.65	293534	287684	70.13	286346	69.81
A11	410960	306582	74.6	306177	299621	72.91	299079	72.78
A12	396582	267206	67.38	267075	261811	66.02	245486	61.9
A6	654127	465385	71.15	464932	452651	69.2	439114	67.13
A7	485232	257146	52.99	256937	248573	51.23	245289	50.55
A8	529730	377564	71.27	377299	369864	69.82	369434	69.74
A9	647978	476154	73.48	475956	466644	72.02	466321	71.97
daiquiriA1	379514	199045	52.45	198751	192470	50.71	191245	50.39
daiquiriA2	139682	52067	37.28	51876	50801	36.37	50719	36.31
daiquiriA3	1262168	702441	55.65	701275	605614	47.98	604675	47.91
daiquiriA4	103584	54652	52.76	54493	53276	51.43	53267	51.42
daiquiriA5	98439	58141	59.06	57993	54720	55.59	54185	55.04
