sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
A10	410193	323037	78.75	322676	12751	3.11	12751	3.11
A11	410960	335402	81.61	335036	927	0.23	925	0.23
A12	396582	292949	73.87	292538	471	0.12	469	0.12
A6	654127	519270	79.38	518810	2374	0.36	2370	0.36
A7	485232	307826	63.44	307646	155231	31.99	154382	31.82
A8	529730	417616	78.84	417337	14277	2.7	14137	2.67
A9	647978	523119	80.73	522889	1180	0.18	1177	0.18
daiquiriA1	379514	253243	66.73	252926	4982	1.31	4966	1.31
daiquiriA2	139682	70506	50.48	70335	24437	17.49	24357	17.44
daiquiriA3	1262168	874897	69.32	874157	11159	0.88	11152	0.88
daiquiriA4	103584	68322	65.96	68145	6635	6.41	6631	6.4
daiquiriA5	98439	73624	74.79	73501	4017	4.08	4016	4.08
